Price,Close,High,Low,Open,Volume
Ticker,1180.SR,1180.SR,1180.SR,1180.SR,1180.SR
Date,,,,,
2024-01-01,34.87534713745117,34.96523411182381,34.74052181914843,34.74052181914843,2388118
2024-01-02,36.2685661315918,36.31351133749119,34.875350469655594,34.92029224671719,8550793
2024-01-03,35.9539680480957,36.4033926486969,35.7292557477951,36.0438515966809,8067452
2024-01-04,38.425804138183594,38.425804138183594,35.414660624036436,35.68431470415089,15489196
2024-01-07,39.27970504760742,39.63924261833116,38.56062647732285,38.83028051257492,13592605
2024-01-08,38.560630798339844,39.86395935291245,38.29097330403347,39.369592994746554,6642135
2024-01-09,38.650516510009766,38.8302870400099,38.15615012413764,38.29097545000949,8052121
2024-01-10,38.560630798339844,38.96511018212446,38.246031531261565,38.65051434388366,5287633
2024-01-11,38.29097366333008,38.83028522816589,37.976377822137316,38.650514706553956,4534488
2024-01-14,37.976383209228516,38.02132498879728,37.392129788320574,37.75167088254669,3102214
2024-01-15,38.650516510009766,39.05499934530066,37.75166728884675,38.06626314471874,7561678
2024-01-16,38.201087951660156,38.69545428644359,37.796605158169235,38.65051251579733,4907501
2024-01-17,38.560630798339844,38.65051434388366,37.84154871863947,38.246031531261565,6403676
2024-01-18,38.06626510620117,38.83028904086104,37.79661101172504,38.56063494638491,5145620
2024-01-21,37.88649368286133,38.51568535540058,37.70672316406263,38.290973064111576,2295017
2024-01-22,37.88649368286133,37.88649368286133,37.88649368286133,37.88649368286133,0
2024-01-23,38.60557556152344,39.234770715580375,38.33592147516696,39.234770715580375,6297225
2024-01-24,38.78533935546875,39.234763897576904,38.38085658180398,38.65051062130145,5466705
2024-01-25,38.695457458496094,38.875227984655076,38.42580338367641,38.74039923282644,5734911
2024-01-28,38.78533935546875,39.099935163409604,38.69545238974484,38.83028112391214,2326593
2024-01-29,38.560630798339844,39.32465122197465,38.470743823958564,39.05499715650575,3141863
2024-01-30,37.841548919677734,38.695456322230314,37.392124331896106,38.695456322230314,6053087
2024-01-31,36.4932746887207,37.70672311748488,36.40339114385111,37.43706905403865,6220795
2024-02-01,36.987648010253906,37.7966102779779,36.40339462619954,36.49327817966739,5565371
2024-02-04,36.4932746887207,36.85281572587397,36.22362062527448,36.268562397709275,2181661
2024-02-05,36.4932746887207,37.0325862444506,36.22362062527448,36.85281572587397,5030810
2024-02-06,36.04384994506836,36.80787378838361,35.324771302823805,36.583161498379845,10787036
2024-02-07,37.032588958740234,37.21235949049308,35.639373338121665,35.68431511385045,6213131
2024-02-08,37.032588958740234,37.21235949049308,35.639373338121665,35.68431511385045,6213131
2024-02-11,36.852821350097656,37.48201654672058,36.67305080408568,37.43707476742708,2669230
2024-02-12,37.25729751586914,37.302239287074045,36.76293117494045,36.80787294614536,4605500
2024-02-13,37.976383209228516,38.56063663013646,37.21236267004551,37.21236267004551,5938225
2024-02-14,37.5718994140625,37.931440499471634,37.032591214786706,37.032591214786706,4001021
2024-02-15,37.706722259521484,37.97637631683211,37.39212300196128,37.57189351644749,2359898
2024-02-18,37.25729751586914,37.70672208559292,37.12246877341706,37.616835114345754,1883273
2024-02-19,37.25729751586914,37.57189334314084,36.85281471735026,37.57189334314084,4759932
2024-02-20,37.93143844604492,37.93143844604492,36.942702229114204,37.302243295059505,4382470
2024-02-21,38.33592224121094,38.9651139790029,37.93143938917482,38.02132294347715,6339042
2024-02-25,37.976383209228516,38.5156914217297,37.79661266211546,38.425807862592166,1816044
2024-02-26,38.06626510620117,38.65051850159767,37.79661101172504,37.79661101172504,2933412
2024-02-27,38.02131652832031,38.42579931210997,37.571891974962305,38.02131652832031,3500487
2024-02-28,38.06626510620117,38.1112103126454,37.79661101172504,38.02132332859479,1648639
